bird_id,X,Y
1341_S13,-119.56268,32.52776
1341_S13,-119.54564,32.496339999999996
1341_S13,-119.53228,32.49431
1341_S13,-119.52305,32.49109
1341_S13,-119.52556,32.49056
1341_S13,-119.53065,32.48227
1341_S13,-119.52834,32.48168
1341_S13,-119.52596,32.47709
1341_S13,-119.51776,32.47366
1341_S13,-119.51755,32.47069
1341_S13,-119.51666,32.46813
1341_S13,-119.5172,32.46164
1341_S13,-119.51705,32.45913
1341_S13,-119.51683,32.45581
1341_S13,-119.51431,32.45071
1341_S13,-119.51473,32.44826
1341_S13,-119.51536,32.44494
1341_S13,-119.51588,32.44159
1341_S13,-119.51614,32.4383
1341_S13,-119.51708000000001,32.43535
1341_S13,-119.5183,32.43244
1341_S13,-119.51964,32.42957
1341_S13,-119.52263,32.41834
1341_S13,-119.52407,32.41617
1341_S13,-119.52068,32.41405
1341_S13,-119.52235,32.41191
1341_S13,-119.52383,32.41009
1341_S13,-119.52499,32.40835
1341_S13,-119.52664,32.40682
1341_S13,-119.52804,32.40516
1341_S13,-119.52958,32.40383
1341_S13,-119.53105,32.4025
1341_S13,-119.53225,32.40159
1341_S13,-119.53316,32.40048
1341_S13,-119.53426,32.399
1341_S13,-119.53528,32.3981
1341_S13,-119.53614,32.39735
1341_S13,-119.53702,32.39627
1341_S13,-119.53748,32.39593
1341_S13,-119.53788,32.39542
1341_S13,-119.53821,32.39533
1341_S13,-119.53828,32.39511
1341_S13,-119.5384,32.3947
1341_S13,-119.53781,32.3946
1341_S13,-119.53707,32.39426
1341_S13,-119.53646,32.39386
1341_S13,-119.5356,32.39327
1341_S13,-119.53472,32.39293
1341_S13,-119.53394,32.39262
1341_S13,-119.53311,32.39235
1341_S13,-119.532,32.39217
1341_S13,-119.53128,32.39185
1341_S13,-119.52987,32.39141
1341_S13,-119.52883,32.39077
1341_S13,-119.52771,32.39036
1341_S13,-119.52674,32.39012
1341_S13,-119.52539,32.38952
1341_S13,-119.52384,32.38888
1341_S13,-119.52252,32.38823
1341_S13,-119.52104,32.38765
1341_S13,-119.51984,32.38699
1341_S13,-119.51825,32.38639
1341_S13,-119.51688,32.38591
1341_S13,-119.51557,32.38525
1341_S13,-119.51444,32.38461
1341_S13,-119.51344,32.3839
1341_S13,-119.51203,32.38327
1341_S13,-119.51094,32.38253
1341_S13,-119.50963,32.38182
1341_S13,-119.50845,32.38129
1341_S13,-119.50726,32.38084
1341_S13,-119.50575,32.38007
1341_S13,-119.50452,32.37928
1341_S13,-119.50305,32.37854
1341_S13,-119.50159,32.37767
1341_S13,-119.50046,32.37663
1341_S13,-119.49921,32.37536
1341_S13,-119.49767,32.37419
1341_S13,-119.49628,32.37321
1341_S13,-119.49537,32.37217
1341_S13,-119.49262,32.37163
1341_S13,-119.49285,32.37084
1341_S13,-119.49178,32.37026
1341_S13,-119.49055,32.3698
1341_S13,-119.4887,32.36917
1341_S13,-119.48737,32.36878
1341_S13,-119.48593,32.36826
1341_S13,-119.48474,32.36776
1341_S13,-119.48342,32.36739
1341_S13,-119.48216,32.36697
1341_S13,-119.4812,32.36002
1341_S13,-119.47997,32.35928
1341_S13,-119.47533,32.32259
1341_S13,-119.42965,32.27499
1341_S13,-119.42518,32.25703
1341_S13,-119.42361,32.25565
1341_S13,-119.42219,32.25478
1341_S13,-119.42052,32.25376
1341_S13,-119.41834,32.25492
1341_S13,-119.41698,32.25391
1341_S13,-119.41535,32.25235
1341_S13,-119.41556,32.25119
1341_S13,-119.41313,32.22265
1341_S13,-119.38295,32.16906
1341_S13,-119.35597,32.106
1341_S13,-119.33641,32.04471
1341_S13,-119.29577,31.98984
1341_S13,-119.26666,31.93198
1341_S13,-119.2369,31.87688
1341_S13,-119.23269,31.83728
1341_S13,-119.21387,31.78525
1341_S13,-119.18922,31.72343
1341_S13,-119.16118,31.65371
1341_S13,-119.14686,31.61233
1341_S13,-119.12012,31.55252
1341_S13,-119.10296,31.50956
1341_S13,-119.09201,31.45574
1341_S13,-119.08049,31.39707
1341_S13,-119.05817,31.33761
1341_S13,-119.03245,31.28707
1341_S13,-119.01049,31.22987
1341_S13,-118.99458,31.17839
1341_S13,-118.98775,31.11691
1341_S13,-118.97176,31.07354
1341_S13,-118.96117,31.03134
1341_S13,-118.96458,30.99085
1341_S13,-118.94795,30.93494
1341_S13,-118.93605,30.89372
1341_S13,-118.92984,30.84478
1341_S13,-118.92191,30.7922
1341_S13,-118.92688,30.7411
1341_S13,-118.92267,30.67065
1341_S13,-118.90997,30.61912
1341_S13,-118.90748,30.60367
1341_S13,-118.90798,30.60381
1341_S13,-118.90928,30.60411
1341_S13,-118.91009,30.6045
1341_S13,-118.91056,30.60491
1341_S13,-118.91115,30.60521
1341_S13,-118.91182,30.60512
1341_S13,-118.9119,30.60296
1341_S13,-118.91252,30.60297
1341_S13,-118.91228,30.59183
1341_S13,-118.90168,30.5242
1341_S13,-118.89886,30.48786
1341_S13,-118.87802,30.42189
1341_S13,-118.85698,30.38137
1341_S13,-118.84374,30.31336
1341_S13,-118.83007,30.27233
1341_S13,-118.81282,30.21651
1341_S13,-118.79296,30.16564
1341_S13,-118.77857,30.09808
1341_S13,-118.74466,30.04095
1341_S13,-118.71854,29.98347
1341_S13,-118.69652,29.92126
1341_S13,-118.66243,29.87377
1341_S13,-118.61328,29.81216
1341_S13,-118.58888,29.75989
1341_S13,-118.53714,29.73815
1341_S13,-118.49353,29.70417
1341_S13,-118.43669,29.67203
1341_S13,-118.39015,29.64084
1341_S13,-118.35156,29.59288
1341_S13,-118.34675,29.58461
1341_S13,-118.34448,29.57302
1341_S13,-118.34396,29.57219
1341_S13,-118.34143,29.55702
1341_S13,-118.3417,29.55506
1341_S13,-118.33984,29.54774
1341_S13,-118.3399,29.53912
1341_S13,-118.3408,29.5377
1341_S13,-118.33993,29.536740000000002
1341_S13,-118.34456,29.48211
1341_S13,-118.34569,29.47801
1341_S13,-118.34492,29.47754
1341_S13,-118.34455,29.47726
1341_S13,-118.34386,29.47653
1341_S13,-118.34356,29.47616
1341_S13,-118.34333,29.4754
1341_S13,-118.34307,29.47491
1341_S13,-118.34261,29.47364
1341_S13,-118.34244,29.47337
1341_S13,-118.34254,29.47281
1341_S13,-118.34172,29.47222
1341_S13,-118.34149,29.47172
1341_S13,-118.34114,29.47125
1341_S13,-118.34067,29.47068
1341_S13,-118.34001,29.47047
1341_S13,-118.33925,29.47015
1341_S13,-118.33845,29.46999
1341_S13,-118.33752,29.47003
1341_S13,-118.33645,29.46999
1341_S13,-118.33552,29.47004
1341_S13,-118.33424,29.47025
1341_S13,-118.33278,29.47053
1341_S13,-118.33182,29.47084
1341_S13,-118.33055,29.47129
1341_S13,-118.32926,29.47171
1341_S13,-118.32775,29.47211
1341_S13,-118.32589,29.4726
1341_S13,-118.32426,29.47314
1341_S13,-118.3224,29.47352
1341_S13,-118.32048,29.47378
1341_S13,-118.3186,29.4742
1341_S13,-118.31671,29.4747
1341_S13,-118.31476,29.47511
1341_S13,-118.31314,29.47528
1341_S13,-118.31131,29.47545
1341_S13,-118.30943,29.47577
1341_S13,-118.30762,29.47593
1341_S13,-118.30591,29.47598
1341_S13,-118.30394,29.47592
1341_S13,-118.30233,29.47612
1341_S13,-118.30079,29.47636
1341_S13,-118.2987,29.47635
1341_S13,-118.29686,29.47639
1341_S13,-118.29473,29.47683
1341_S13,-118.29307,29.47681
1341_S13,-118.29088,29.47717
1341_S13,-118.28932,29.47711
1341_S13,-118.28774,29.47729
1341_S13,-118.28559,29.47756
1341_S13,-118.28343,29.47802
1341_S13,-118.28133,29.47824
1341_S13,-118.27919,29.47827
1341_S13,-118.27495,29.47869
1341_S13,-118.27307,29.47876
1341_S13,-118.27088,29.47894
1341_S13,-118.26869,29.47901
1341_S13,-118.26657,29.47922
1341_S13,-118.2586,29.47008
1341_S13,-118.23569,29.45734
