bird_id,X,Y
1341_S13,-119.56642,28.31092
1341_S13,-119.58215,28.29044
1341_S13,-119.5802,28.27268
1341_S13,-119.58497,28.25512
1341_S13,-119.60262,28.24296
1341_S13,-119.62048,28.2307
1341_S13,-119.63577,28.22713
1341_S13,-119.64727,28.21467
1341_S13,-119.65071,28.19508
1341_S13,-119.65542,28.18402
1341_S13,-119.68455,28.18008
1341_S13,-119.69051,28.17986
1341_S13,-119.69458,28.17799
1341_S13,-119.69267,28.1852
1341_S13,-119.69894,28.19505
1341_S13,-119.70147,28.21455
1341_S13,-119.70346,28.22829
1341_S13,-119.67141,28.26062
1341_S13,-119.67869,28.2662
1341_S13,-119.67377,28.29301
1341_S13,-119.68095,28.31308
1341_S13,-119.68505999999999,28.31508
1341_S13,-119.68426,28.32451
1341_S13,-119.6726,28.32695
1341_S13,-119.67333000000001,28.32824
1341_S13,-119.67227,28.33823
1341_S13,-119.67825,28.33675
1341_S13,-119.68305,28.35369
1341_S13,-119.71319,28.3565
1341_S13,-119.71764,28.37441
1341_S13,-119.73593,28.3855
1341_S13,-119.75963,28.39163
1341_S13,-119.77919,28.41075
1341_S13,-119.81037,28.41533
1341_S13,-119.84474,28.40538
1341_S13,-119.8698,28.40151
1341_S13,-119.89246,28.40423
1341_S13,-119.89953,28.41419
1341_S13,-119.91923,28.41635
1341_S13,-119.92547,28.42536
1341_S13,-119.92908,28.435
1341_S13,-119.92429,28.44795
1341_S13,-119.89206,28.46723
1341_S13,-119.87082,28.47747
1341_S13,-119.85336,28.49052
1341_S13,-119.83303,28.50551
1341_S13,-119.79418,28.51314
1341_S13,-119.77726,28.5259
1341_S13,-119.7631,28.54336
1341_S13,-119.73534,28.55548
1341_S13,-119.70458000000001,28.57395
1341_S13,-119.68229,28.58992
1341_S13,-119.67705,28.5997
1341_S13,-119.6635,28.61486
1341_S13,-119.65934,28.62455
1341_S13,-119.64456,28.65049
1341_S13,-119.62818,28.66552
1341_S13,-119.63596,28.67517
1341_S13,-119.62686,28.69004
1341_S13,-119.62257,28.70249
1341_S13,-119.62043,28.71138
1341_S13,-119.62368,28.72398
1341_S13,-119.63269,28.72455
1341_S13,-119.63247,28.72147
1341_S13,-119.63279,28.7186
1341_S13,-119.63419,28.72563
1341_S13,-119.63341,28.7289
1341_S13,-119.63298,28.72596
1341_S13,-119.63332,28.72307
1341_S13,-119.63386,28.72037
1341_S13,-119.63311,28.71754
1341_S13,-119.63222,28.71497
1341_S13,-119.62883,28.71268
1341_S13,-119.62746,28.71001
1341_S13,-119.62675,28.70745
1341_S13,-119.62534,28.70458
1341_S13,-119.62475,28.7018
1341_S13,-119.6238,28.69923
1341_S13,-119.62294,28.69623
1341_S13,-119.6223,28.69302
1341_S13,-119.62193,28.69003
1341_S13,-119.62113,28.68715
1341_S13,-119.62027,28.68398
1341_S13,-119.61948,28.68114
1341_S13,-119.61905,28.67766
1341_S13,-119.61817,28.67435
1341_S13,-119.61735,28.67106
1341_S13,-119.61674,28.66763
1341_S13,-119.61564,28.66414
1341_S13,-119.616,28.66253
1341_S13,-119.61256,28.66583
1341_S13,-119.61201,28.66262
1341_S13,-119.62168,28.65799
1341_S13,-119.62411,28.65362
1341_S13,-119.64218,28.65002
1341_S13,-119.65526,28.65039
1341_S13,-119.6521,28.64981
1341_S13,-119.65371,28.64585
1341_S13,-119.65424,28.65009
1341_S13,-119.65426,28.6527
1341_S13,-119.65658,28.66601
1341_S13,-119.75808,28.64155
1341_S13,-119.76811,28.63053
1341_S13,-119.80352,28.62613
1341_S13,-119.82761,28.63101
1341_S13,-119.86147,28.63708
1341_S13,-119.88211,28.64131
1341_S13,-119.91111,28.64545
1341_S13,-119.94218,28.64732
1341_S13,-119.9846,28.65048
1341_S13,-120.00614,28.65277
1341_S13,-120.05758,28.64591
1341_S13,-120.07982,28.6478
1341_S13,-120.13472,28.64295
1341_S13,-120.13394,28.64046
1341_S13,-120.13353,28.63792
1341_S13,-120.13291,28.63571
1341_S13,-120.13247,28.63307
1341_S13,-120.13204,28.63068
1341_S13,-120.13172,28.62807
1341_S13,-120.1312,28.62599
1341_S13,-120.13042,28.6235
1341_S13,-120.12989,28.62142
1341_S13,-120.12932,28.61906
1341_S13,-120.12896,28.61646
1341_S13,-120.12866,28.6144
1341_S13,-120.12775,28.61297
1341_S13,-120.12677,28.61116
1341_S13,-120.12582,28.60951
1341_S13,-120.1249,28.60759
1341_S13,-120.12393,28.60596
1341_S13,-120.12305,28.60411
1341_S13,-120.12184,28.60262
1341_S13,-120.12085,28.60087
1341_S13,-120.11982,28.59899
1341_S13,-120.11771,28.59824
1341_S13,-120.11703,28.59654
1341_S13,-120.11618,28.59492
1341_S13,-120.11535,28.59331
1341_S13,-120.11451,28.59159
1341_S13,-120.11363,28.58971
1341_S13,-120.1134,28.58804
1341_S13,-120.08128,28.58545
1341_S13,-120.02788,28.58182
1341_S13,-119.96941,28.58879
1341_S13,-119.91762,28.58899
1341_S13,-119.88331,28.59169
1341_S13,-119.88347,28.58976
1341_S13,-119.88373,28.58772
1341_S13,-119.88401,28.58582
1341_S13,-119.88415,28.58406
1341_S13,-119.84506,28.58252
1341_S13,-119.78693,28.58095
1341_S13,-119.72395,28.57131
1341_S13,-119.66618,28.56122
1341_S13,-119.6661,28.55859
1341_S13,-119.61901,28.5567
1341_S13,-119.56639,28.55796
1341_S13,-119.50034,28.56292
1341_S13,-119.4404,28.56215
1341_S13,-119.38431,28.56754
1341_S13,-119.3444,28.56966
1341_S13,-119.28516,28.55874
1341_S13,-119.25813,28.56946
1341_S13,-119.2613,28.57301
1341_S13,-119.26113,28.57148
1341_S13,-119.26466,28.57809
1341_S13,-119.26356,28.5763
1341_S13,-119.21731,28.58298
1341_S13,-119.15904,28.59936
1341_S13,-119.1002,28.61834
1341_S13,-119.0207,28.62542
1341_S13,-118.97187,28.63658
1341_S13,-118.90155,28.6493
1341_S13,-118.8637,28.65554
1341_S13,-118.792,28.65914
1341_S13,-118.70994,28.66339
1341_S13,-118.62295,28.68144
1341_S13,-118.57703,28.69189
1341_S13,-118.52878,28.71306
1341_S13,-118.47685,28.73234
1341_S13,-118.44574,28.75152
1341_S13,-118.40479,28.77112
1341_S13,-118.38464,28.78932
1341_S13,-118.33904,28.8088
1341_S13,-118.31605,28.83526
1341_S13,-118.3091,28.85819
1341_S13,-118.29364,28.88513
1341_S13,-118.29159,28.88415
1341_S13,-118.29834,28.88458
1341_S13,-118.31574,28.8863
1341_S13,-118.33031,28.89152
1341_S13,-118.36769,28.87998
1341_S13,-118.4002,28.85776
1341_S13,-118.4513,28.81899
1341_S13,-118.49366,28.79329
1341_S13,-118.54303,28.75938
1341_S13,-118.59133,28.73163
1341_S13,-118.63091,28.72053
1341_S13,-118.67201,28.70349
1341_S13,-118.71937,28.6829
1341_S13,-118.76778,28.67655
1341_S13,-118.78592,28.66973
1341_S13,-118.83428,28.6516
1341_S13,-118.88067,28.64117
1341_S13,-118.91744,28.63885
1341_S13,-119.01682,28.62755
1341_S13,-119.04392,28.62384
1341_S13,-119.0678,28.63092
1341_S13,-119.12923,28.62353
1341_S13,-119.15887,28.62543
1341_S13,-119.18793,28.62733
1341_S13,-119.20662,28.62938
1341_S13,-119.20838,28.6277
1341_S13,-119.21042,28.62635
1341_S13,-119.21129,28.6247
1341_S13,-119.21366,28.62261
1341_S13,-119.21422,28.62073
1341_S13,-119.21522,28.61908
1341_S13,-119.21598,28.61729
1341_S13,-119.21697,28.61562
1341_S13,-119.21776,28.6142
1341_S13,-119.21892,28.61254
1341_S13,-119.21994,28.61061
1341_S13,-119.22085,28.60864
1341_S13,-119.22177,28.60663
1341_S13,-119.22263,28.60459
1341_S13,-119.22364,28.60228
1341_S13,-119.22402,28.60065
1341_S13,-119.22486,28.59863
1341_S13,-119.22586,28.59672
1341_S13,-119.227,28.59478
1341_S13,-119.22767,28.59254
1341_S13,-119.2286,28.59017
1341_S13,-119.22962,28.58792
1341_S13,-119.23101,28.58582
1341_S13,-119.23272,28.58367
1341_S13,-119.23441,28.58154
1341_S13,-119.23649,28.5795
1341_S13,-119.25815,28.57292
1341_S13,-119.26002,28.57805
1341_S13,-119.28584,28.55694
1341_S13,-119.24624,28.5466
1341_S13,-119.24469,28.58089
1341_S13,-119.24551,28.57874
1341_S13,-119.25325,28.58236
1341_S13,-119.24631,28.56998
1341_S13,-119.25643,28.53719
1341_S13,-119.28056,28.51778
1341_S13,-119.29796,28.50069
1341_S13,-119.3199,28.49805
1341_S13,-119.37658,28.48868
1341_S13,-119.42831,28.48983
1341_S13,-119.4377,28.51475
1341_S13,-119.41748,28.53673
1341_S13,-119.42717,28.5388
1341_S13,-119.44748,28.54275
1341_S13,-119.48938,28.54206
1341_S13,-119.54695,28.52916
1341_S13,-119.60324,28.52331
1341_S13,-119.65484,28.52229
1341_S13,-119.69494,28.51945
1341_S13,-119.75493,28.51661
1341_S13,-119.81197,28.50928
1341_S13,-119.8569,28.51439
1341_S13,-119.90534,28.51963
1341_S13,-119.93259,28.52021
1341_S13,-119.93222,28.51713
1341_S13,-119.93184,28.51401
1341_S13,-119.95547,28.51138
1341_S13,-119.98304,28.51687
1341_S13,-120.03127,28.5286
1341_S13,-120.07564,28.54301
1341_S13,-120.0993,28.54832
1341_S13,-120.14063,28.56582
1341_S13,-120.18008,28.58241
1341_S13,-120.21618,28.59539
1341_S13,-120.26183,28.60738
1341_S13,-120.29325,28.62119
1341_S13,-120.30595,28.62456
1341_S13,-120.30588,28.62255
1341_S13,-120.30545,28.62032
1341_S13,-120.30545,28.62031
1341_S13,-120.30507,28.61828
1341_S13,-120.32799,28.62668
1341_S13,-120.35053,28.64037
1341_S13,-120.37136,28.66093
1341_S13,-120.37609,28.66486
1341_S13,-120.37545,28.66385
1341_S13,-120.37506,28.66612
1341_S13,-120.39213,28.68714
1341_S13,-120.39816,28.69753
1341_S13,-120.39795,28.70304
1341_S13,-120.42586,28.72408
1341_S13,-120.4257,28.72476
1341_S13,-120.44641,28.74879
1341_S13,-120.45073,28.7732
1341_S13,-120.46751,28.79722
1341_S13,-120.46707,28.79594
1341_S13,-120.47205,28.80578
1341_S13,-120.47835,28.83279
1341_S13,-120.4867,28.86573
1341_S13,-120.48971,28.87622
1341_S13,-120.49577,28.89948
1341_S13,-120.51084,28.92237
1341_S13,-120.51943,28.95244
1341_S13,-120.51094,28.97236
1341_S13,-120.5182,29.00109
1341_S13,-120.52402,29.01581
1341_S13,-120.52615,29.04044
1341_S13,-120.53097,29.06329
1341_S13,-120.53158,29.07686
1341_S13,-120.53899,29.08634
1341_S13,-120.52665,29.11458
1341_S13,-120.53021,29.13529
1341_S13,-120.53164,29.14381
1341_S13,-120.52951,29.14439
1341_S13,-120.52707,29.15316
1341_S13,-120.52501,29.15376
1341_S13,-120.52317,29.15434
1341_S13,-120.5203,29.15494
1341_S13,-120.51756,29.15579
1341_S13,-120.51425,29.15666
1341_S13,-120.51213,29.15734
1341_S13,-120.5094,29.15782
1341_S13,-120.50708,29.15827
1341_S13,-120.50356,29.16603
1341_S13,-120.49973,29.16616
1341_S13,-120.49598,29.16616
1341_S13,-120.49233,29.1661
1341_S13,-120.4883,29.16605
1341_S13,-120.48451,29.16593
1341_S13,-120.48083,29.16566
1341_S13,-120.47665,29.16528
1341_S13,-120.47323,29.16509
1341_S13,-120.46969,29.16496
1341_S13,-120.46613,29.16494
1341_S13,-120.46239,29.16484
1341_S13,-120.45786,29.16563
1341_S13,-120.4543,29.16548
1341_S13,-120.4507,29.16555
1341_S13,-120.44646,29.17459
1341_S13,-120.44422,29.17357
1341_S13,-120.43929,29.17499
1341_S13,-120.43617,29.17432
1341_S13,-120.43214,29.17442
1341_S13,-120.4299,29.17556
1341_S13,-120.42619,29.17673
1341_S13,-120.42316,29.17595
1341_S13,-120.41437,29.19707
1341_S13,-120.4132,29.1965
1341_S13,-120.41108,29.19573
1341_S13,-120.40877,29.19492
1341_S13,-120.40648,29.19425
1341_S13,-120.40273,29.19455
1341_S13,-120.39746,29.21748
1341_S13,-120.3956,29.21654
1341_S13,-120.39368,29.21548
1341_S13,-120.39171,29.2145
1341_S13,-120.38993,29.21337
1341_S13,-120.38778,29.21234
1341_S13,-120.38361,29.21274
1341_S13,-120.38161,29.21173
1341_S13,-120.37919,29.21057
1341_S13,-120.37725,29.20944
1341_S13,-120.37487,29.20815
1341_S13,-120.37271,29.20686
1341_S13,-120.37056,29.20557
1341_S13,-120.36848,29.20418
1341_S13,-120.36601,29.20307
1341_S13,-120.36389,29.20188
1341_S13,-120.36183,29.20064
1341_S13,-120.35956,29.19921
1341_S13,-120.35728,29.19802
1341_S13,-120.35496,29.19682
1341_S13,-120.35277,29.19548
1341_S13,-120.35071,29.19427
1341_S13,-120.34839,29.19302
1341_S13,-120.3462,29.19155
1341_S13,-120.34369,29.19008
1341_S13,-120.34149,29.18856
1341_S13,-120.33941,29.18687
1341_S13,-120.33816,29.1849
1341_S13,-120.33686,29.18345
1341_S13,-120.33517,29.18176
1341_S13,-120.33369,29.19504
1341_S13,-120.34419,29.20539
1341_S13,-120.36072,29.22318
1341_S13,-120.37279,29.24539
1341_S13,-120.3833,29.25762
1341_S13,-120.39704,29.25145
1341_S13,-120.39643,29.27189
1341_S13,-120.41357000000001,29.2822
1341_S13,-120.41363,29.28219
1341_S13,-120.44789,29.30198
1341_S13,-120.49335,29.30486
1341_S13,-120.51196,29.30859
1341_S13,-120.54525,29.3191
1341_S13,-120.57693,29.33219
1341_S13,-120.62587,29.34408
1341_S13,-120.65338,29.35516
1341_S13,-120.69452,29.36581
1341_S13,-120.74826,29.37068
1341_S13,-120.75054,29.37032
1341_S13,-120.78902,29.38249
1341_S13,-120.8056,29.38852
1341_S13,-120.83397,29.39641
1341_S13,-120.83477,29.4011
1341_S13,-120.86271,29.40787
1341_S13,-120.91754,29.41867
1341_S13,-120.95106,29.4296
1341_S13,-120.96281,29.42168
1341_S13,-120.96313,29.42024
1341_S13,-120.96466,29.41934
1341_S13,-120.96852,29.42037
1341_S13,-120.96973,29.41955
1341_S13,-120.97358,29.42066
1341_S13,-120.97489,29.41978
1341_S13,-121.01539,29.44339
1341_S13,-121.05145,29.47194
1341_S13,-121.09224,29.49788
1341_S13,-121.11153,29.50961
1341_S13,-121.13628,29.53868
1341_S13,-121.14488,29.54395
1341_S13,-121.17738,29.56165
1341_S13,-121.19955,29.58587
1341_S13,-121.19984,29.58487
1341_S13,-121.22326,29.60059
1341_S13,-121.25591,29.6223
1341_S13,-121.25604,29.62136
1341_S13,-121.25583,29.62022
1341_S13,-121.25552,29.61926
1341_S13,-121.2587,29.62323
1341_S13,-121.27407,29.64173
1341_S13,-121.28097,29.64679
1341_S13,-121.29936,29.68053
1341_S13,-121.29846,29.6807
1341_S13,-121.3018,29.6876
1341_S13,-121.30364,29.69822
1341_S13,-121.3175,29.73255
1341_S13,-121.32841,29.76746
1341_S13,-121.34555,29.80164
1341_S13,-121.36038,29.84171
1341_S13,-121.3709,29.8644
1341_S13,-121.38795,29.89588
1341_S13,-121.39195,29.90906
1341_S13,-121.40195,29.93024
1341_S13,-121.40597,29.96702
1341_S13,-121.40887,29.98355
1341_S13,-121.41474,29.99335
1341_S13,-121.41875,30.02707
1341_S13,-121.4258,30.05458
1341_S13,-121.4259,30.05379
1341_S13,-121.42596,30.05301
1341_S13,-121.42652,30.05146
1341_S13,-121.4264,30.051
1341_S13,-121.42228,30.05574
1341_S13,-121.4222,30.05513
1341_S13,-121.42316,30.05903
1341_S13,-121.42396,30.05856
1341_S13,-121.42363,30.05874
1341_S13,-121.41822,30.07011
1341_S13,-121.41946,30.08816
1341_S13,-121.41758,30.09049
1341_S13,-121.40868,30.11675
1341_S13,-121.40201,30.14192
1341_S13,-121.40685,30.17274
1341_S13,-121.40671,30.17208
1341_S13,-121.41332,30.18363
1341_S13,-121.41518,30.21229
1341_S13,-121.41804,30.21831
1341_S13,-121.41744,30.21706
1341_S13,-121.41688,30.21596
1341_S13,-121.41629,30.215
1341_S13,-121.41842,30.23283
1341_S13,-121.41802,30.23636
1341_S13,-121.41714,30.23476
1341_S13,-121.41771,30.24797
1341_S13,-121.41678,30.24648
1341_S13,-121.41565,30.24495
1341_S13,-121.41442,30.2434
1341_S13,-121.41377,30.2544
1341_S13,-121.41219,30.25278
1341_S13,-121.41003,30.25592
1341_S13,-121.41013,30.26267
1341_S13,-121.41018,30.27076
1341_S13,-121.4087,30.26991
1341_S13,-121.40712,30.26919
1341_S13,-121.40539,30.26843
1341_S13,-121.40385,30.26749
