bird_id,X,Y
H52,-118.87055,28.698678
H52,-118.923252,28.69703
H52,-118.977592,28.696092
H52,-119.028312,28.696525
H52,-119.064412,28.701075
H52,-119.098653,28.70757
H52,-119.128135,28.718065
H52,-119.175327,28.719195
H52,-119.191987,28.73406
H52,-119.22627,28.743507
H52,-119.225927,28.764265
H52,-119.229108,28.787478
H52,-119.216718,28.811683
H52,-119.240902,28.824768
H52,-119.237685,28.847458
H52,-119.227727,28.874995
H52,-119.218228,28.899228
H52,-119.226278,28.915438
H52,-119.23086,28.913828
H52,-119.242137,28.923083
H52,-119.227173,28.949925
H52,-119.187875,28.975473
H52,-119.178663,29.00087
H52,-119.177822,29.023807
H52,-119.14908,29.050492
H52,-119.112278,29.075863
H52,-119.102143,29.078877
H52,-119.100698,29.078163
H52,-119.0803,29.084113
H52,-119.071875,29.08458
H52,-119.070558,29.082875
H52,-119.075473,29.079768
H52,-119.07714,29.072388
H52,-119.054342,29.072605
H52,-119.05321,29.070847
H52,-119.042895,29.07105
H52,-119.018902,29.084205
H52,-119.006073,29.097275
H52,-119.007575,29.099373
H52,-119.003902,29.106658
H52,-118.978297,29.116782
H52,-119.002328,29.108557
H52,-119.009832,29.109117
H52,-118.998648,29.117687
H52,-118.97649,29.131617
H52,-118.957407,29.140855
H52,-118.947505,29.15242
H52,-118.944735,29.159228
H52,-118.926635,29.16974
H52,-118.906263,29.180877
H52,-118.920488,29.18533
H52,-118.91051,29.199157
H52,-118.902112,29.213187
H52,-118.874615,29.228392
H52,-118.866165,29.238088
H52,-118.856813,29.249675
H52,-118.848752,29.257235
H52,-118.85475,29.252112
H52,-118.853637,29.250363
H52,-118.852865,29.248613
H52,-118.851715,29.24706
H52,-118.8502,29.245727
H52,-118.84933,29.24411
H52,-118.848517,29.24267
H52,-118.847955,29.240997
H52,-118.846717,29.23954
H52,-118.845618,29.238052
H52,-118.844263,29.236413
H52,-118.843165,29.234922
H52,-118.842025,29.233392
H52,-118.840748,29.23188
H52,-118.839387,29.230467
H52,-118.838033,29.229025
H52,-118.83713,29.22763
H52,-118.83627,29.2262
H52,-118.83437,29.22552
H52,-118.833338,29.22429
H52,-118.832297,29.222922
H52,-118.831267,29.221602
H52,-118.83034,29.22003
H52,-118.829882,29.218308
H52,-118.82962,29.216453
H52,-118.829418,29.214395
H52,-118.828638,29.213063
H52,-118.828125,29.211517
H52,-118.827898,29.209858
H52,-118.827428,29.208178
H52,-118.826997,29.206525
H52,-118.826967,29.204582
H52,-118.826872,29.20278
H52,-118.826697,29.20112
H52,-118.827102,29.199005
H52,-118.826935,29.197125
H52,-118.827203,29.195042
H52,-118.827123,29.192705
H52,-118.827925,29.191047
H52,-118.828832,29.189253
H52,-118.82888,29.187153
H52,-118.829358,29.18519
H52,-118.830425,29.18354
H52,-118.830925,29.181362
H52,-118.831858,29.179653
H52,-118.833523,29.177832
H52,-118.834512,29.175843
H52,-118.835422,29.174213
H52,-118.834928,29.172718
H52,-118.836242,29.170907
H52,-118.836772,29.169978
H52,-118.837143,29.168507
H52,-118.83789,29.16702
H52,-118.838735,29.165303
H52,-118.840253,29.16377
H52,-118.841588,29.162113
H52,-118.842538,29.16067
H52,-118.843712,29.159098
H52,-118.844742,29.157082
H52,-118.846657,29.155857
H52,-118.843387,29.15626
H52,-118.844845,29.154692
H52,-118.841905,29.158575
H52,-118.837647,29.168493
H52,-118.830018,29.187407
H52,-118.840647,29.207427
H52,-118.896788,29.19576
H52,-118.954525,29.17887
H52,-119.013747,29.162397
H52,-119.06589,29.148697
H52,-119.116868,29.137587
H52,-119.115735,29.117
H52,-119.063768,29.128397
H52,-119.006197,29.1432
H52,-118.94275,29.160198
H52,-118.894495,29.182825
H52,-118.865233,29.202193
H52,-118.852073,29.227643
H52,-118.812168,29.249708
H52,-118.760162,29.27104
H52,-118.714238,29.292147
H52,-118.652098,29.308752
